school,hs_yrs,rating,low_inc,chr_tru,type,pop,psat9_growall,psat10_growall,sat11_growall,attainment,grad_rate,early_cred,col_en_rate,col_persist,adar,1yr_dr,fotr
von,4,1+,0.746,0.3,magnet,1822,0.73,0.59,0.68,0.623,0.906,0.696,0.806,0.815,0.936,0.004,0.902
acero,4,1+,0.934,0.326,charter,608,0.76,0.81,0.49,0.357,0.81,0.524,0.66,0.713,0.95,0.009,0.91
amundsen,4,1+,0.775,0.354,neighbor,1309,0.88,0.74,0.56,0.482,0.806,0.429,0.64,0.742,0.924,0.012,0.9
BackotYards,4,1+,0.958,0.311,neighbor,1086,0.86,0.8,0.72,0.545,0.913,0.488,,,0.956,0.003,0.996
carver,4,1+,0.934,0.046,military,485,0.5,0.44,0.46,0.339,0.898,0.806,0.673,0.667,0.933,0.008,0.959
chiarts,4,1+,0.476,0.026,contract,613,0.68,0.37,0.27,0.498,0.823,0.333,0.804,0.889,0.991,0.026,0.918
Agri-Sci,4,1+,0.429,0.133,magnet,776,0.82,0.69,0.53,0.586,0.883,0.596,0.767,0.874,0.945,0.006,0.954
CICS_NT,4,1+,0.805,0.42,charter,915,0.85,0.7,0.9,0.436,0.834,0.275,0.75,0.844,0.94,0.01,0.977
hancock,4,1+,0.851,0.388,selective,1046,0.88,0.69,0.38,0.662,0.803,0.328,0.595,0.669,0.931,0.015,0.982
infinity,4,1+,0.967,0.276,small,420,0.91,0.81,0.86,0.404,0.938,0.577,0.66,0.582,0.938,0.012,0.94
jones,4,1+,0.379,0.202,selective,1929,0.93,0.85,0.87,0.976,0.933,0.875,0.851,0.933,0.935,0.003,0.991
king,4,1+,0.806,0.368,selective,535,0.34,0.65,0.66,0.684,0.894,0.411,0.834,0.803,0.928,0.006,0.944
lane,6,1+,0.466,0.091,selective,4601,0.89,0.91,0.87,0.972,0.957,0.892,0.869,0.895,0.949,0.006,0.972
kenwood,6,1+,0.599,0.25,neighbor,1897,0.89,0.95,0.88,0.674,0.857,0.665,0.771,0.805,0.933,0.014,0.952
intrinsic,6,1+,0.864,0.446,charter,962,0.58,0.85,0.93,0.428,0.779,0.452,,,0.939,0.002,0.984
disney2,6,1+,0.594,0.496,magnet,761,0.82,0.75,0.42,0.454,0.804,0.333,,,0.878,0.019,0.914
math-science,7,1+,0.89,0.246,charter,608,0.82,0.49,0.96,0.522,0.838,0.235,0.718,0.833,0.952,0.026,0.855
brooks,6,1+,0.689,0.552,selective,1032,0.7,0.44,0.75,0.908,0.968,0.672,0.894,0.893,0.92,0.015,0.919
devry,2,1+,0.71,0.096,magnet,162,,,,0.75,1,1,0.794,0.842,0.964,0,
lincoln_park,4,1+,0.526,0.297,neighbor,2103,0.66,0.64,0.68,0.762,0.877,0.752,0.8,0.871,0.92,0.022,0.896
lindblom,6,1+,0.66,0.483,selective,1372,0.78,0.65,0.82,0.86,0.93,0.662,0.879,0.882,0.924,0.022,0.989
noble-acad,4,1+,0.863,0.281,charter,482,0.93,0.99,0.97,0.601,,,,,0.944,0.05,0.916
nooble-bulls,4,1+,0.91,0.395,charter,1271,0.93,0.97,0.99,0.513,0.849,0.277,0.863,0.74,0.938,0.011,0.889
noble-golder,4,1+,0.913,0.451,charter,678,0.98,0.96,0.97,0.539,0.847,0.482,0.811,0.709,0.935,0.028,0.855
noble-ITW,4,1+,0.906,0.392,charter,1100,0.96,0.99,0.97,0.52,,,,,0.928,0.014,0.924
noble-muchin,4,1+,0.857,0.173,charter,1061,0.91,0.97,0.87,0.587,0.93,0.415,0.891,0.763,0.958,0.007,0.909
noble-noble,4,1+,0.865,0.388,charter,687,0.97,0.99,0.99,0.603,0.882,0.458,0.877,0.607,0.944,0.011,0.91
noble-pritz,4,1+,0.936,0.273,charter,1019,0.99,0.99,0.99,0.617,0.853,0.413,0.881,0.71,0.952,0.019,0.88
noble-raun,4,1+,0.849,0.474,charter,656,0.91,0.98,0.94,0.501,0.874,0.394,0.855,0.781,0.934,0.021,0.815
noble-uic,4,1+,0.864,0.165,charter,966,0.96,0.98,0.99,0.613,0.818,0.475,0.889,0.84,0.948,0.01,0.9
northside,4,1+,0.454,0.129,selective,1102,0.78,0.72,0.7,0.991,0.976,0.919,0.92,0.946,0.954,0.008,0.989
ogden,4,1+,0.666,0.217,neighbor,635,0.74,0.41,0.57,0.563,0.845,0.577,0.788,0.72,0.942,0.003,0.984
payton,4,1+,0.317,0.199,selective,1161,0.73,0.6,0.94,0.994,0.964,0.928,0.824,0.925,0.94,0.009,0.993
phoenix,4,1+,0.319,0.933,military,549,0.95,0.87,0.94,0.571,0.928,0.822,0.646,0.595,0.959,0.002,0.961
prosser,4,1+,0.937,0.516,career,1374,0.56,0.4,0.28,0.414,0.881,0.783,0.674,0.781,0.899,0.008,0.958
solorio,4,1+,0.938,0.357,neighbor,1224,0.94,0.92,0.96,0.538,0.892,0.576,0.603,0.652,0.946,0.006,0.946
westing,4,1+,0.824,0.397,selective,1240,0.76,0.6,0.54,0.723,0.959,0.535,0.788,0.837,0.937,0.003,0.964
world lang,4,1+,0.958,0.385,small,354,0.56,0.83,0.8,0.221,0.868,0.644,0.584,0.541,0.919,0.015,0.938
young,6,1+,0.396,0.001,selective,2220,0.9,0.93,0.86,0.981,0.956,0.844,0.841,0.941,0.952,0.002,0.983
